iter	Passed	Remaining
959	4607	191
960	4611	187
961	4616	182
962	4620	177
963	4624	172
964	4629	167
965	4633	163
966	4639	158
967	4643	153
968	4648	148
969	4652	143
970	4656	139
971	4662	134
972	4666	129
973	4671	124
974	4675	119
975	4681	115
976	4686	110
977	4690	105
978	4694	100
979	4698	95
980	4703	91
981	4708	86
982	4712	81
983	4717	76
984	4721	71
985	4725	67
986	4730	62
987	4735	57
988	4739	52
989	4744	47
990	4748	43
991	4753	38
992	4757	33
993	4762	28
994	4766	23
995	4771	19
996	4776	14
997	4781	9
998	4786	4
999	4791	0
